Model|R2 Score|MAE Score|Correctness|Vars|Dropping|MaeCV|Mae POST
Model 1| niestabilny numerycznie | e^{\frac{Effect of forex changes on cash - \overline{Effect of forex changes on cash}}{\sigma_{Effect of forex changes on cash}}}
Model 695 with heteroskedacity_and_autocorr|0.999654630721722|0.9852373222797985|5/10|35|Goodwill and Intangible Assets^2|109915760.41329417|39.03191430771588
Model 696|0.00564039586788573|37.89588067142146|4/10|34|Net Current Asset Value^2|17427650.378587656|40.3733488685609
Model 696 with autocorr|0.00560135483299773|37.858504086089376|4/10|34|Net Current Asset Value^2|17676616.83865883|65.40432525208011
Model 696| niestabilny numerycznie | 3Y Net Income Growth (per Share)^3
Model 697|0.00561202568360049|37.91467264383216|4/10|33|Net Current Asset Value^2|17426586.982378244|40.7137314146603
Model 697 with autocorr|0.005445101248766183|37.8784016188642|4/10|33|Net Current Asset Value^2|17675747.348843165|65.27510477306436
Model 697| niestabilny numerycznie | companyEquityMultiplier^3
Model 698|0.005432976387815469|37.91546154536544|4/10|32|Net Current Asset Value^2|16383208.945217207|40.00853474256545
Model 698 with autocorr|0.005438894893811128|37.88032759240702|4/10|32|Net Current Asset Value^2|16624564.25682478|65.03556959589187
Model 698| niestabilny numerycznie | Goodwill and Intangible Assets^2
Model 699|0.005728092744584902|37.91415854450582|4/10|31|Net Current Asset Value^2|16425676.433307003|39.23310166203732
Model 699 with autocorr|0.0054345541220857455|37.88372961826995|4/10|31|Net Current Asset Value^2|17518541.132381655|65.8607256647415
Model 699| niestabilny numerycznie | e^{\frac{Utilities - \overline{Utilities}}{\sigma_{Utilities}}}
Model 700|0.005411134187432947|37.92016841112877|4/10|30|Net Current Asset Value^2|16425700.917169869|39.9415150479837
Model 700 with autocorr|0.005347126751965616|37.89772822984813|4/10|30|Net Current Asset Value^2|16652374.402415747|39.90346303494684
Model 700| niestabilny numerycznie | e^{\frac{Consumer Defensive - \overline{Consumer Defensive}}{\sigma_{Consumer Defensive}}}
Model 701|0.005339895557600789|37.902884065465074|4/10|29|Net Current Asset Value^2|16425637.270607287|39.889063209352116
Model 701 with autocorr|0.00524891216397916|37.8756864104283|4/10|29|Net Current Asset Value^2|17514046.688464783|39.84801804575697
Model 701| niestabilny numerycznie | e^{\frac{capitalExpenditureCoverageRatios - \overline{capitalExpenditureCoverageRatios}}{\sigma_{capitalExpenditureCoverageRatios}}}
Model 702|0.0052886231024236565|37.89614397856916|4/10|28|Net Current Asset Value^2|16427146.124396924|39.88264252415936
Model 702 with autocorr|0.005218930630759131|37.87112762990095|4/10|28|Net Current Asset Value^2|16657622.428357193|39.84211623625747
Model 702| niestabilny numerycznie | Net Current Asset Value^2
Model 703|0.005287158726086531|37.898147635352544|4/10|27|Net Debt^2|677861136.8877062|39.885118773433064
Model 703 with autocorr|0.00521676573929122|37.873277194687795|4/10|27|Net Debt^2|567569099.5981573|39.84356311911194
Model 703| niestabilny numerycznie | Net Debt^2
Model 704|0.00527610678860559|37.89837588798072|4/10|26|Financing Cash Flow^2|41209885.60790038|39.888634509940566
Model 704 with autocorr|0.005200527733748271|37.875804266326966|4/10|26|Financing Cash Flow^2|42180849.859747455|39.84931013277828
Model 704| niestabilny numerycznie | Utilities
Model 705|0.005197155024143847|37.929775980289186|4/10|25|Financing Cash Flow^2|41214996.133416966|39.94012405903363
Model 705 with autocorr|0.005112158088693002|37.90936032978242|4/10|25|Financing Cash Flow^2|42170262.378050216|39.909386385010954
Model 705| niestabilny numerycznie | Days of Inventory on Hand^2
Model 706|0.005168540633614842|37.93294612861319|4/10|24|Financing Cash Flow^2|14973081.092685726|39.937764421191076
Model 706 with autocorr|0.005081228332442305|37.912533848101404|4/10|24|Financing Cash Flow^2|15016751.187009286|39.90658756880418
Model 706| niestabilny numerycznie | POCF ratio
Model 707|0.004910512697711888|37.930153645861324|4/10|23|Financing Cash Flow^2|14973075.907170434|37.98986456742139
Model 707 with autocorr|0.004816643205205191|37.91115422153619|4/10|23|Financing Cash Flow^2|15016470.875632435|37.93623340607435
Model 707| niestabilny numerycznie | Technology
Model 708|0.003540816264970125|38.03353729467586|4/10|22|Financing Cash Flow^2|14973079.628053203|38.31478699231679
Model 708 with autocorr|0.0035224477742458542|38.009675681291036|4/10|22|Financing Cash Flow^2|15019508.56099407|38.25488079619327
Model 708| niestabilny numerycznie | Payables Turnover^2
Model 709|0.0032920627912097766|38.055966119251536|4/10|21|Financing Cash Flow^2|15359909.177864145|38.31108469821812
Model 709 with autocorr|0.0032677669922532996|38.03198082293689|4/10|21|Financing Cash Flow^2|15438198.903879762|38.251347249480375
Model 709| niestabilny numerycznie | EPS Growth^3
Model 710|0.0032902851005041185|38.057427336172246|4/10|20|Financing Cash Flow^2|17706561.968250968|38.254664485356294
Model 710 with autocorr|0.0032675881957545568|38.03244535736016|4/10|20|Financing Cash Flow^2|17858995.952834956|38.242579733189295
Model 710| niestabilny numerycznie | Financing Cash Flow^2
Model 711|0.003289267199123915|38.05861462660362|4/10|19|e^{\frac{R&D to Revenue - \overline{R&D to Revenue}}{\sigma_{R&D to Revenue}}}|18589343732104.79|38.254325111635495
Model 711 with autocorr|0.0032660316922234938|38.03395969980906|4/10|19|e^{\frac{R&D to Revenue - \overline{R&D to Revenue}}{\sigma_{R&D to Revenue}}}|18572192481454.418|38.242597784175146
Model 711| niestabilny numerycznie | e^{\frac{Earnings Before Tax Margin - \overline{Earnings Before Tax Margin}}{\sigma_{Earnings Before Tax Margin}}}
Model 712|0.0029279584604201565|38.0851491997197|4/10|18|e^{\frac{R&D to Revenue - \overline{R&D to Revenue}}{\sigma_{R&D to Revenue}}}|18591151256316.527|38.14917752727368
Model 712 with autocorr|0.0029040278919941803|38.059929001737295|4/10|18|e^{\frac{R&D to Revenue - \overline{R&D to Revenue}}{\sigma_{R&D to Revenue}}}|18574058878613.6|38.13778865936022
Model 712| niestabilny numerycznie | Capex to Depreciation^3
Model 713|0.002821799013409466|38.09955519165834|4/10|17|e^{\frac{R&D to Revenue - \overline{R&D to Revenue}}{\sigma_{R&D to Revenue}}}|18588566978941.492|38.144103669938175
Model 713 with autocorr|0.002800023127632092|38.07417992516536|4/10|17|e^{\frac{R&D to Revenue - \overline{R&D to Revenue}}{\sigma_{R&D to Revenue}}}|18571194358441.15|38.132647547406606
Model 713| niestabilny numerycznie | EPS^2
Model 714|0.002337125379285756|38.12526465157291|4/10|16|e^{\frac{R&D to Revenue - \overline{R&D to Revenue}}{\sigma_{R&D to Revenue}}}|18591007371368.83|38.13734791635035
Model 714 with autocorr|0.002324855273849478|38.09907136194206|4/10|16|e^{\frac{R&D to Revenue - \overline{R&D to Revenue}}{\sigma_{R&D to Revenue}}}|18573458365890.164|38.125805028881196
Model 714| niestabilny numerycznie | Operating Income Growth
Model 715|0.00229410126509632|38.1303773123775|4/10|15|e^{\frac{R&D to Revenue - \overline{R&D to Revenue}}{\sigma_{R&D to Revenue}}}|18591009301406.938|38.10827928000776
Model 715 with autocorr|0.0022878445586529085|38.103054528815136|4/10|15|e^{\frac{R&D to Revenue - \overline{R&D to Revenue}}{\sigma_{R&D to Revenue}}}|18573314329661.383|38.097867679034266
Model 715| niestabilny numerycznie | EPS Growth^2
Model 716|0.002290338016274495|38.13063721111557|4/10|14|e^{\frac{R&D to Revenue - \overline{R&D to Revenue}}{\sigma_{R&D to Revenue}}}|18581007152088.008|38.11176409955122
Model 716 with autocorr|0.0022849033963893866|38.10331516341904|4/10|14|e^{\frac{R&D to Revenue - \overline{R&D to Revenue}}{\sigma_{R&D to Revenue}}}|18563016033154.94|38.105731909461205
Model 716| niestabilny numerycznie | e^{\frac{Total assets - \overline{Total assets}}{\sigma_{Total assets}}}
Model 717|0.0022857263682397578|38.13170188575156|4/10|13|e^{\frac{R&D to Revenue - \overline{R&D to Revenue}}{\sigma_{R&D to Revenue}}}|18581967730440.973|38.108998849220455
Model 717 with autocorr|0.0022795949632711913|38.10437355026213|4/10|13|e^{\frac{R&D to Revenue - \overline{R&D to Revenue}}{\sigma_{R&D to Revenue}}}|18564162118922.242|38.10380866001314
Model 717| niestabilny numerycznie | priceSalesRatio^3
Model 718|0.0022768403512247164|38.1328751293455|4/10|12|e^{\frac{R&D to Revenue - \overline{R&D to Revenue}}{\sigma_{R&D to Revenue}}}|21609752112812.453|38.102313904154045
Model 718 with autocorr|0.0022699670084268733|38.10551615682855|4/10|12|e^{\frac{R&D to Revenue - \overline{R&D to Revenue}}{\sigma_{R&D to Revenue}}}|21682699840140.418|38.09678080486736
Model 718| niestabilny numerycznie | e^{\frac{Net Current Asset Value - \overline{Net Current Asset Value}}{\sigma_{Net Current Asset Value}}}
Model 719|0.0022490587637200537|38.15244863650946|5/10|11|e^{\frac{R&D to Revenue - \overline{R&D to Revenue}}{\sigma_{R&D to Revenue}}}|21609752426483.074|38.15737078478089
Model 719 with autocorr|0.0022330720016160975|38.1279085103927|5/10|11|e^{\frac{R&D to Revenue - \overline{R&D to Revenue}}{\sigma_{R&D to Revenue}}}|21682239397800.56|38.15073171775383
Model 719| niestabilny numerycznie | e^{\frac{Operating Cash Flow - \overline{Operating Cash Flow}}{\sigma_{Operating Cash Flow}}}
Model 720|0.002248377999208411|38.15351444220966|5/10|10|e^{\frac{R&D to Revenue - \overline{R&D to Revenue}}{\sigma_{R&D to Revenue}}}|21609420187057.305|38.15718905072147
Model 720 with autocorr|0.0022325006870934057|38.12890925591026|5/10|10|e^{\frac{R&D to Revenue - \overline{R&D to Revenue}}{\sigma_{R&D to Revenue}}}|21681926706566.875|38.150553332849384
Model 720| niestabilny numerycznie | e^{\frac{Acquisitions and disposals - \overline{Acquisitions and disposals}}{\sigma_{Acquisitions and disposals}}}
Model 721|0.002224882265855803|38.160513181648476|5/10|9|e^{\frac{R&D to Revenue - \overline{R&D to Revenue}}{\sigma_{R&D to Revenue}}}|21609411165070.703|38.14553234505952
Model 721 with autocorr|0.00221285535466977|38.135250706863964|5/10|9|e^{\frac{R&D to Revenue - \overline{R&D to Revenue}}{\sigma_{R&D to Revenue}}}|21682149878458.066|38.14008833206233
Model 721| niestabilny numerycznie | Net Income - Non-Controlling int^2
Model 722|0.0022132647638334066|38.16212310105229|5/10|8|e^{\frac{R&D to Revenue - \overline{R&D to Revenue}}{\sigma_{R&D to Revenue}}}|21606843078425.5|38.1360943627731
Model 722 with autocorr|0.002200276633765197|38.137047212576775|5/10|8|e^{\frac{R&D to Revenue - \overline{R&D to Revenue}}{\sigma_{R&D to Revenue}}}|21679207856324.2|38.13009824325621
Model 722| niestabilny numerycznie | pretaxProfitMargin^3
Model 723|0.0017530341731690532|38.19017230310068|6/10|7|e^{\frac{R&D to Revenue - \overline{R&D to Revenue}}{\sigma_{R&D to Revenue}}}|25227340301027.316|38.3575741992517
Model 723 with autocorr|0.0017457712679306377|38.16462794139149|6/10|7|e^{\frac{R&D to Revenue - \overline{R&D to Revenue}}{\sigma_{R&D to Revenue}}}|25568347693355.72|38.34939715375171
Model 723| niestabilny numerycznie | interestCoverage^3
Model 724|0.00167001046218076|38.200096336244826|6/10|6|e^{\frac{R&D to Revenue - \overline{R&D to Revenue}}{\sigma_{R&D to Revenue}}}|25232151439040.477|35.84823975705432
Model 724 with autocorr|0.0016660339931523465|38.174590096990784|6/10|6|e^{\frac{R&D to Revenue - \overline{R&D to Revenue}}{\sigma_{R&D to Revenue}}}|25574304218683.46|35.89132878462048
Model 724| niestabilny numerycznie | Days of Inventory on Hand^3
Model 725|0.0016233832649917648|38.21069781733791|6/10|5|e^{\frac{R&D to Revenue - \overline{R&D to Revenue}}{\sigma_{R&D to Revenue}}}|33814555458677.65|35.84897530331105
Model 725 with autocorr|0.0016259968013211522|38.18435806794714|6/10|5|e^{\frac{R&D to Revenue - \overline{R&D to Revenue}}{\sigma_{R&D to Revenue}}}|34096243362453.145|35.89231343740732
Model 725| niestabilny numerycznie | netProfitMargin
Model 726|0.0007770945799862423|38.23001648808287|6/10|4|e^{\frac{R&D to Revenue - \overline{R&D to Revenue}}{\sigma_{R&D to Revenue}}}|25319510772786.04|35.82633917221645
Model 726 with autocorr|0.000752413556841593|38.20538604846379|6/10|4|e^{\frac{R&D to Revenue - \overline{R&D to Revenue}}{\sigma_{R&D to Revenue}}}|25664840551021.348|35.86957365085928
Model 726 with heteroskedacity|0.999999883540546|4.095652544156964|7/10|4|e^{\frac{R&D to Revenue - \overline{R&D to Revenue}}{\sigma_{R&D to Revenue}}}|9.042782868350157e+19|38.576163848762526
Model 726 with heteroskedacity_and_autocorr|0.9999998835418885|4.0961107222919555|7/10|4|e^{\frac{R&D to Revenue - \overline{R&D to Revenue}}{\sigma_{R&D to Revenue}}}|9.109517648093038e+19|38.575243130542276
Model 727|0.0007249806709908203|38.23939540151792|6/10|3|Operating Cash Flow growth^3|47.86552393675687|35.82550500174284
Model 727 with autocorr|0.000739105865037731|38.21100905946914|6/10|3|Operating Cash Flow growth^3|50.02116714407692|35.8710402715536
Model 727 with heteroskedacity|0.8601175156509847|3.971518695234238|7/10|3|Operating Cash Flow growth^3|9109.538266515952|38.82260479519003
Model 727 with heteroskedacity_and_autocorr|0.860117380759878|3.9722719007089644|7/10|3|Operating Cash Flow growth^3|9121.057811069451|38.822210289719344
Model 728|0.0007171111874214775|38.24303699129255|6/10|2|PE ratio|38.25698863406591|35.82517823017557
Model 728 with autocorr|0.0007308307236923554|38.214617840616945|6/10|2|PE ratio|38.227400913453785|35.870660434284396
Model 728 with heteroskedacity|0.8207456172866112|3.8583066965993247|6/10|2|PE ratio|4.53249323156799|40.68643678720328
Model 728 with heteroskedacity_and_autocorr|0.8207454743374787|3.8584559433830656|6/10|2|PE ratio|4.532895714214631|40.686425141706245
