Model|R2 Score|MAE Score|Correctness|Vars|Dropping|MaeCV|Mae POST
Model 1| niestabilny numerycznie | e^{\frac{Effect of forex changes on cash - \overline{Effect of forex changes on cash}}{\sigma_{Effect of forex changes on cash}}}
Model 696|0.005652059692523969|37.81985076186762|4/10|34|Net Current Asset Value^2|1139985.9379823857|65.24918362744499
Model 697|0.005750878752938449|37.859154183773974|4/10|33|Net Debt^2|5859573326.460216|40.18986292758306
Model 697|0.005653563980764423|37.8207901806747|4/10|33|Net Debt^2|6218647948.689689|65.21625197808632
Model 697|0.005653563980764423|37.8207901806747|4/10|33|Net Debt^2|6218647948.689689|65.21625197808632
Model 697|0.00565044816971514|37.821738762414796|4/10|33|Net Debt^2|574935404.892966|65.23374290684502
Model 698|0.005602218820373661|37.86453996845492|4/10|32|e^{\frac{SG&A Expenses Growth - \overline{SG&A Expenses Growth}}{\sigma_{SG&A Expenses Growth}}}|39233747861.944305|39.78405305704875
Model 698|0.005639256878614407|37.82323667291427|4/10|32|e^{\frac{SG&A Expenses Growth - \overline{SG&A Expenses Growth}}{\sigma_{SG&A Expenses Growth}}}|55446998529.42421|65.24047022317178
Model 698|0.005639256878614407|37.82323667291427|4/10|32|e^{\frac{SG&A Expenses Growth - \overline{SG&A Expenses Growth}}{\sigma_{SG&A Expenses Growth}}}|55446998529.42421|65.24047022317178
Model 698|0.005635429953095977|37.82434793046722|4/10|32|e^{\frac{SG&A Expenses Growth - \overline{SG&A Expenses Growth}}{\sigma_{SG&A Expenses Growth}}}|42599702795.66653|65.25440908855334
Model 699|0.005635456375597374|37.87021316449011|4/10|31|Goodwill and Intangible Assets^2|62023994370.27482|39.95877868438922
Model 699|0.005606493127353419|37.83160992010584|4/10|31|Goodwill and Intangible Assets^2|60237123715.58136|65.23795315934987
Model 699|0.005606493127353419|37.83160992010584|4/10|31|Goodwill and Intangible Assets^2|60237123715.58136|65.23795315934987
Model 699|0.00560307363056529|37.8325996958501|4/10|31|Goodwill and Intangible Assets^2|49873570700.31189|65.25358835925705
Model 700|0.005682349108884085|37.872254802388674|4/10|30|operatingCashFlowPerShare^3|89573148406.33786|40.09525263382423
Model 700|0.00559440532053827|37.83430741476072|4/10|30|operatingCashFlowPerShare^3|48036797461.32888|65.13949358795595
Model 700|0.00559440532053827|37.83430741476072|4/10|30|operatingCashFlowPerShare^3|48036797461.32888|65.13949358795595
Model 700|0.005591049788954587|37.83525279524804|4/10|30|operatingCashFlowPerShare^3|128575971334.07492|65.14513670943896
Model 701|0.005460509905788824|37.88475837642995|4/10|29|e^{\frac{SG&A to Revenue - \overline{SG&A to Revenue}}{\sigma_{SG&A to Revenue}}}|29404994116.499126|40.02724512858228
Model 701|0.005591045659181677|37.83758722166188|4/10|29|e^{\frac{SG&A to Revenue - \overline{SG&A to Revenue}}{\sigma_{SG&A to Revenue}}}|30327246469.808403|65.14832154227888
Model 701|0.005591045659181677|37.83758722166188|4/10|29|e^{\frac{SG&A to Revenue - \overline{SG&A to Revenue}}{\sigma_{SG&A to Revenue}}}|30327246469.808403|65.14832154227888
Model 701|0.005587253284627225|37.83866956508731|4/10|29|e^{\frac{SG&A to Revenue - \overline{SG&A to Revenue}}{\sigma_{SG&A to Revenue}}}|29681714909.861347|65.15431399412998
Model 702|0.005519683511781529|37.888121731736476|4/10|28|Financing Cash Flow^2|9848.572698662547|39.996556843964605
Model 702|0.005385687939037577|37.84789205036316|4/10|28|Financing Cash Flow^2|9880.643627187645|65.3112652285669
Model 702|0.005385687939037577|37.84789205036316|4/10|28|Financing Cash Flow^2|9880.643627187645|65.3112652285669
Model 702|0.005384052361676575|37.84841446881321|4/10|28|Financing Cash Flow^2|9881.731098002909|65.31123390760844
Model 703|0.005401448027275868|37.88979453295113|4/10|27|Net Income - Non-Controlling int^2|9610.787404458148|40.07071843105806
Model 703|0.00538550460753323|37.84901526951329|4/10|27|Net Income - Non-Controlling int^2|9645.995721962372|65.3271835410922
Model 703|0.00538550460753323|37.84901526951329|4/10|27|Net Income - Non-Controlling int^2|9645.995721962372|65.3271835410922
Model 703|0.005382436683282481|37.850014090430726|4/10|27|Net Income - Non-Controlling int^2|9649.737776214877|65.32277829326345
Model 704|0.005386908670859807|37.890084504275954|4/10|26|interestCoverage^3|8906.670267243588|40.055989438675624
Model 704|0.005367339272025115|37.852894855953075|4/10|26|interestCoverage^3|8905.052331677341|65.3050082644612
Model 704|0.005367339272025115|37.852894855953075|4/10|26|interestCoverage^3|8905.052331677341|65.3050082644612
Model 704|0.005364216315102424|37.85391350511023|4/10|26|interestCoverage^3|8905.111347275357|65.32012635120815
Model 705|0.00527663449554088|37.90296733995367|4/10|25|Days of Inventory on Hand^2|8899.410417684925|37.60993045043167
Model 705|0.005291560771298075|37.86254945996362|4/10|25|Days of Inventory on Hand^2|8897.5878808522|62.932882110787645
Model 705|0.005291560771298075|37.86254945996362|4/10|25|Days of Inventory on Hand^2|8897.5878808522|62.932882110787645
Model 705|0.0052883155896882635|37.86363549967737|4/10|25|Days of Inventory on Hand^2|8897.64210690719|62.947784734122266
Model 706|0.005219580429384453|37.91331519592582|4/10|24|priceSalesRatio^3|64.5991664466234|37.57917470231873
Model 706|0.005221581846056258|37.87541364243775|4/10|24|priceSalesRatio^3|66.36558102814205|62.92274750378631
Model 706|0.005221581846056258|37.87541364243775|4/10|24|priceSalesRatio^3|66.36558102814205|62.92274750378631
Model 706|0.005218930366772846|37.87641401382389|4/10|24|priceSalesRatio^3|66.43925789591914|62.94357369373144
Model 707|0.005193889899751916|37.91961152434901|4/10|23|e^{\frac{Income Quality - \overline{Income Quality}}{\sigma_{Income Quality}}}|64.53787689040806|37.571939219884435
Model 707|0.005157706913537839|37.88254845900555|4/10|23|e^{\frac{Income Quality - \overline{Income Quality}}{\sigma_{Income Quality}}}|66.33886367592842|62.942682361174064
Model 707|0.005157706913537839|37.88254845900555|4/10|23|e^{\frac{Income Quality - \overline{Income Quality}}{\sigma_{Income Quality}}}|66.33886367592842|62.942682361174064
Model 707|0.005155194974339331|37.883476691032605|4/10|23|e^{\frac{Income Quality - \overline{Income Quality}}{\sigma_{Income Quality}}}|66.4082215509006|62.94049573715025
Model 708|0.0050093872001203|37.93284438849318|4/10|22|pretaxProfitMargin^3|64.4195713335492|37.576456340123755
Model 708|0.005009214561466566|37.89412796344591|4/10|22|pretaxProfitMargin^3|66.20496864121482|62.9258119828865
Model 708|0.005009214561466566|37.89412796344591|4/10|22|pretaxProfitMargin^3|66.20496864121482|62.9258119828865
Model 708|0.0050067434598225135|37.895092414953936|4/10|22|pretaxProfitMargin^3|66.273798362965|62.939464411090185
Model 709|0.004204747073527655|37.975179496156336|4/10|21|EPS^2|53.09312242525922|37.546877496548476
Model 709|0.004251483456385207|37.937192330592495|4/10|21|EPS^2|55.643989437634716|62.815992112878895
Model 709|0.004251483456385207|37.937192330592495|4/10|21|EPS^2|55.643989437634716|62.815992112878895
Model 709|0.004252818390636695|37.93797146059428|4/10|21|EPS^2|55.731417271447256|62.84464400244515
Model 710|0.0037021032815967767|38.00103209084812|4/10|20|e^{\frac{Operating Cash Flow - \overline{Operating Cash Flow}}{\sigma_{Operating Cash Flow}}}|52.954335294759815|37.547370199276735
Model 710|0.0037885953845232237|37.9616522297934|4/10|20|e^{\frac{Operating Cash Flow - \overline{Operating Cash Flow}}{\sigma_{Operating Cash Flow}}}|55.54459153330396|62.824433019123504
Model 710|0.0037885953845232237|37.9616522297934|4/10|20|e^{\frac{Operating Cash Flow - \overline{Operating Cash Flow}}{\sigma_{Operating Cash Flow}}}|55.54459153330396|62.824433019123504
Model 710|0.0037902029544435137|37.962433941423704|4/10|20|e^{\frac{Operating Cash Flow - \overline{Operating Cash Flow}}{\sigma_{Operating Cash Flow}}}|55.628527338366325|62.83677271723205
Model 711|0.0036653483001113877|38.00390163520013|4/10|19|Operating Cash Flow growth^3|50.093762062668645|37.55507810384484
Model 711|0.003786501805731296|37.96381035380288|4/10|19|Operating Cash Flow growth^3|52.60017624420273|62.811117317408694
Model 711|0.003786501805731296|37.96381035380288|4/10|19|Operating Cash Flow growth^3|52.60017624420273|62.811117317408694
Model 711|0.0037883160656828428|37.96464881930723|4/10|19|Operating Cash Flow growth^3|52.686321266948255|62.84422053677422
Model 712|0.00366948359916473|38.00702690984277|4/10|18|e^{\frac{Total assets - \overline{Total assets}}{\sigma_{Total assets}}}|42.383262999431096|37.551980392239535
Model 712|0.0037796061261265563|37.96709038326155|4/10|18|e^{\frac{Total assets - \overline{Total assets}}{\sigma_{Total assets}}}|42.6980548900734|62.810912899134486
Model 712|0.0037796061261265563|37.96709038326155|4/10|18|e^{\frac{Total assets - \overline{Total assets}}{\sigma_{Total assets}}}|42.6980548900734|62.810912899134486
Model 712|0.003781289181089474|37.96791112452722|4/10|18|e^{\frac{Total assets - \overline{Total assets}}{\sigma_{Total assets}}}|42.71017438493214|62.82949428888
Model 713|0.00364754491617497|38.009061798839106|4/10|17|Capex to Depreciation^3|42.36417387144187|37.55489894619912
Model 713|0.003776004304975458|37.96791153354376|4/10|17|Capex to Depreciation^3|42.676677262517806|62.83836770402294
Model 713|0.003776004304975458|37.96791153354376|4/10|17|Capex to Depreciation^3|42.676677262517806|62.83836770402294
Model 713|0.0037776828544705226|37.96876647229317|4/10|17|Capex to Depreciation^3|42.68929213383801|62.84613035702853
Model 714|0.0035361588174690154|38.025803308191584|4/10|16|Payables Turnover^2|42.44699927322887|37.55889616195263
Model 714|0.0036806596138807698|37.981365615790665|4/10|16|Payables Turnover^2|42.759281252611494|62.83506629324058
Model 714|0.0036806596138807698|37.981365615790665|4/10|16|Payables Turnover^2|42.759281252611494|62.83506629324058
Model 714|0.003682557658757115|37.98225590884599|4/10|16|Payables Turnover^2|42.772558446548075|62.8561856281773
Model 715|0.0032775145319146426|38.046497500222834|4/10|15|EPS Growth^3|42.453249334547095|37.543222318199454
Model 715|0.003379714494166175|38.00633342046619|4/10|15|EPS Growth^3|42.763264824452534|62.8300704702559
Model 715|0.003379714494166175|38.00633342046619|4/10|15|EPS Growth^3|42.763264824452534|62.8300704702559
Model 715|0.003381150553923298|38.00716128178114|4/10|15|EPS Growth^3|42.775124132084194|62.832778214041575
Model 716|0.011019724405845846|38.35581418890582|3/10|14|POCF ratio|42.450782799116695|37.72586290507451
Model 716|0.003374401215063326|38.00372283062688|4/10|14|POCF ratio|42.71112563661112|62.900049110781
Model 716|0.003374401215063326|38.00372283062688|4/10|14|POCF ratio|42.71112563661112|62.900049110781
Model 716|0.0033798367689422348|38.00723773529866|4/10|14|POCF ratio|42.76934445269196|62.94936728255264
Model 717|0.025043054149257594|39.045169652777695|3/10|13|e^{\frac{Earnings Before Tax Margin - \overline{Earnings Before Tax Margin}}{\sigma_{Earnings Before Tax Margin}}}|42.40937927664125|35.805773239652225
Model 717|0.003106462838427165|38.000275848356075|4/10|13|e^{\frac{Earnings Before Tax Margin - \overline{Earnings Before Tax Margin}}{\sigma_{Earnings Before Tax Margin}}}|42.61758322691506|61.28107478878845
Model 717|0.003106462838427165|38.000275848356075|4/10|13|e^{\frac{Earnings Before Tax Margin - \overline{Earnings Before Tax Margin}}{\sigma_{Earnings Before Tax Margin}}}|42.61758322691506|61.28107478878845
Model 717|0.0031159781596351377|38.00615673670572|4/10|13|e^{\frac{Earnings Before Tax Margin - \overline{Earnings Before Tax Margin}}{\sigma_{Earnings Before Tax Margin}}}|42.72405312107428|61.327924021897545
Model 718|0.017485861268800744|38.72785310064058|3/10|12|EPS Growth^2|38.18493277521889|35.64197675022822
Model 718|0.002676348777859931|38.03208553605806|4/10|12|EPS Growth^2|38.15731110644594|61.23039993782214
Model 718|0.002676348777859931|38.03208553605806|4/10|12|EPS Growth^2|38.15731110644594|61.23039993782214
Model 718|0.002682700645828717|38.03706190098888|4/10|12|EPS Growth^2|38.162886021914176|61.296301197205636
Model 719|0.006278205229252427|38.103226695175195|4/10|11|PE ratio|38.155532882163|35.45321871662711
Model 719|0.0026767371215291225|38.03491783723178|4/10|11|PE ratio|38.131048701739246|61.17605276919277
Model 719|0.0026767371215291225|38.03491783723178|4/10|11|PE ratio|38.131048701739246|61.17605276919277
Model 719|0.002680935744980007|38.03730048976056|4/10|11|PE ratio|38.13381296963458|61.20350748291342
Model 720|0.002721484993424155|38.23629704912062|4/10|10|netProfitMargin|38.212007974620846|35.5833712347808
Model 720|0.0019743886223420547|38.09731056179154|4/10|10|netProfitMargin|38.18788997584869|61.10251828457595
Model 720|0.0019743886223420547|38.09731056179154|4/10|10|netProfitMargin|38.18788997584869|61.10251828457595
Model 720|0.0019742744172922483|38.09877116556788|4/10|10|netProfitMargin|38.189505654612276|61.11410052351852
Model 721|0.0018871988531826789|38.134175220990755|4/10|9|3Y Net Income Growth (per Share)^3|38.20349274598588|35.52882083488116
Model 721|0.001676738801411049|38.09039627635012|4/10|9|3Y Net Income Growth (per Share)^3|38.179415419359344|61.09265687322738
Model 721|0.001676738801411049|38.09039627635012|4/10|9|3Y Net Income Growth (per Share)^3|38.179415419359344|61.09265687322738
Model 721|0.0016740432452545778|38.09084034777539|4/10|9|3Y Net Income Growth (per Share)^3|38.179957218153824|61.081198620994634
Model 722|0.005691674313690177|38.18706605837939|3/10|8|e^{\frac{Acquisitions and disposals - \overline{Acquisitions and disposals}}{\sigma_{Acquisitions and disposals}}}|38.2194436618551|35.3955574121745
Model 722|0.001525733601464141|38.10843534680872|4/10|8|e^{\frac{Acquisitions and disposals - \overline{Acquisitions and disposals}}{\sigma_{Acquisitions and disposals}}}|38.192468536553456|61.138254582669745
Model 722|0.001525733601464141|38.10843534680872|4/10|8|e^{\frac{Acquisitions and disposals - \overline{Acquisitions and disposals}}{\sigma_{Acquisitions and disposals}}}|38.192468536553456|61.138254582669745
Model 722|0.001515384438981355|38.11023404402145|4/10|8|e^{\frac{Acquisitions and disposals - \overline{Acquisitions and disposals}}{\sigma_{Acquisitions and disposals}}}|38.194628234995406|61.16825293055764
Model 723|0.005524685421004025|38.18038897446469|3/10|7|Operating Income Growth|38.22276028886359|35.37076506105011
Model 723|0.0015086917789799454|38.113236016915614|4/10|7|Operating Income Growth|38.19534539998976|61.12884953695299
Model 723|0.0015086917789799454|38.113236016915614|4/10|7|Operating Income Growth|38.19534539998976|61.12884953695299
Model 723|0.0015008911898247606|38.114919050556146|4/10|7|Operating Income Growth|38.19724061806223|61.15495938707645
Model 724|0.0016794042628636091|38.25197045716041|3/10|6|e^{\frac{capitalExpenditureCoverageRatios - \overline{capitalExpenditureCoverageRatios}}{\sigma_{capitalExpenditureCoverageRatios}}}|38.22287505044145|35.58243836239639
Model 724|0.0015003553894815795|38.11550602737188|3/10|6|e^{\frac{capitalExpenditureCoverageRatios - \overline{capitalExpenditureCoverageRatios}}{\sigma_{capitalExpenditureCoverageRatios}}}|38.196774772193706|61.08180786431126
Model 724|0.0015003553894815795|38.11550602737188|3/10|6|e^{\frac{capitalExpenditureCoverageRatios - \overline{capitalExpenditureCoverageRatios}}{\sigma_{capitalExpenditureCoverageRatios}}}|38.196774772193706|61.08180786431126
Model 724|0.0014988250890034295|38.116023535694715|3/10|6|e^{\frac{capitalExpenditureCoverageRatios - \overline{capitalExpenditureCoverageRatios}}{\sigma_{capitalExpenditureCoverageRatios}}}|38.19721810350857|61.09061173657054
Model 725|0.0017233625256399844|38.08788833931053|4/10|5|Technology|38.17897685508737|35.449227371669764
Model 725|0.0014726650020952278|38.11090326914982|4/10|5|Technology|38.14965717789251|61.09127091243695
Model 725|0.0014726650020952278|38.11090326914982|4/10|5|Technology|38.14965717789251|61.09127091243695
Model 725|0.0014708612031147207|38.11137308042106|4/10|5|Technology|38.14997617299214|61.07749251939598
Model 726|0.0001698376754545504|38.20204951066856|4/10|4|e^{\frac{Net Current Asset Value - \overline{Net Current Asset Value}}{\sigma_{Net Current Asset Value}}}|38.288995595072194|35.68139503160017
Model 726|0.00017417863664529143|38.217441817406424|4/10|4|e^{\frac{Net Current Asset Value - \overline{Net Current Asset Value}}{\sigma_{Net Current Asset Value}}}|38.2529988069357|60.28016222657989
Model 726|0.00017417863664529143|38.217441817406424|4/10|4|e^{\frac{Net Current Asset Value - \overline{Net Current Asset Value}}{\sigma_{Net Current Asset Value}}}|38.2529988069357|60.28016222657989
Model 726|0.00017436670414989875|38.21759764390268|4/10|4|e^{\frac{Net Current Asset Value - \overline{Net Current Asset Value}}{\sigma_{Net Current Asset Value}}}|38.2531240980274|60.29472367402794
Model 727|0.0001191490335717412|38.354307305602624|4/10|3|e^{\frac{Utilities - \overline{Utilities}}{\sigma_{Utilities}}}|38.29369177063691|35.85092478132969
Model 727|0.0001493317692518288|38.233003792506494|4/10|3|e^{\frac{Utilities - \overline{Utilities}}{\sigma_{Utilities}}}|38.25991175284915|60.1616605648998
Model 727|0.0001493317692518288|38.233003792506494|4/10|3|e^{\frac{Utilities - \overline{Utilities}}{\sigma_{Utilities}}}|38.25991175284915|60.1616605648998
Model 727|0.00014942169337063243|38.23327408335084|4/10|3|e^{\frac{Utilities - \overline{Utilities}}{\sigma_{Utilities}}}|38.26012243070512|60.158893629137964
Model 728|5.856970626971059e-05|38.27929654234684|5/10|2|Utilities|38.29369177063691|35.779912496597284
Model 728|7.133534892103571e-05|38.24684789228835|5/10|2|Utilities|38.26111959860115|35.82226802631866
Model 728|7.133534892103571e-05|38.24684789228835|5/10|2|Utilities|38.26111959860115|35.82226802631866
Model 728|7.142777136211765e-05|38.24701133463723|5/10|2|Utilities|38.26125593259114|35.8225930898489
